tipo;politica;arquivo;aba;qtd_colunas;colunas
atual;caf_dap;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx;Orientações;1;Orientações
atual;caf_dap;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx;DADOS;9;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, CAFs PF ATIVO, CAFs PJ ATIVO, QUANTIDADE DE MULHERES EM CAF ATIVO, QUANTIDADE DE HOMENS EM CAF ATIVO
atual;caf_dap;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx;TOTALIZADORES;8;dt_referencia, dt_geracao, cod_ibge_estados, uf, Soma de CAFs PF ATIVO, Soma de CAFs PJ ATIVO, Soma de QUANTIDADE DE MULHERES EM CAF ATIVO, Soma de QUANTIDADE DE HOMENS EM CAF ATIVO
atual;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;Orientações;1;Orientações
atual;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;DADOS;7;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, familias_com_ater_iniciada_no_ano, familias_com_ater_recebida_no_ano
atual;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
atual;pronaf;pronaf_gaia_20260414.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados:
atual;pronaf;pronaf_gaia_20260414.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_1_Feminino, qtd_contratos_1_Masculino, qtd_contratos_1_Sem_Identificacao, valor_total_contratos_1_Feminino, valor_total_contratos_1_Masculino, valor_total_contratos_1_Sem_Identificacao, qtd_operacoes_1_Feminino, qtd_operacoes_1_Masculino, qtd_operacoes_1_Sem_Identificacao, ticket_medio_1_Feminino, ticket_medio_1_Masculino, ticket_medio_1_Sem_Identificacao
atual;pronaf;pronaf_gaia_20260414.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_1_Feminino, qtd_contratos_1_Masculino, qtd_contratos_1_Sem_Identificacao, valor_total_contratos_1_Feminino, valor_total_contratos_1_Masculino, valor_total_contratos_1_Sem_Identificacao, qtd_operacoes_1_Feminino, qtd_operacoes_1_Masculino, qtd_operacoes_1_Sem_Identificacao, ticket_medio_1_Feminino, ticket_medio_1_Masculino, ticket_medio_1_Sem_Identificacao
atual;mais_alimentos;mais_alimentos_gaia_202604151554.xlsx;Resumo;1;Orientações gerais sobre a planilha de dados:
atual;mais_alimentos;mais_alimentos_gaia_202604151554.xlsx;Totalizadores;6;dt_referencia, dt_geracao, CD_ESTADO, cod_ibge_uf, qtd_contratos, valor_total_contratos
atual;mais_alimentos;mais_alimentos_gaia_202604151554.xlsx;Dados;8;dt_referencia, dt_geracao, CD_ESTADO, cod_ibge_uf, nome_municipio, cod_ibge_municipio, qtd_contratos, valor_total_contratos
atual;garantia_safra;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx;Orientações;1;Orientações gerais sobre a planilha de dados
atual;garantia_safra;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx;DADOS;9;dt_referencia, dt_geracao, uf, cod_ibge_uf, cod_ibge, nome_municipio, Agricultores_aderidos, Agricultores_com_pagamento liberado, pagamento_liberado
atual;garantia_safra;GARANTIA-SAFRA_2023-2024_ate_2026_04.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
atual;pncf;pncf_2026_03_gerado_em_20260410170006.xlsx;Orientações;1;Orientações
atual;pncf;pncf_2026_03_gerado_em_20260410170006.xlsx;DADOS;9;dt_referencia, dt_geracao, cod_ibge, sigla_uf, nome_uf, Município, Nº de Operações, Valor Liberado (R$), Valor Médio Liberado (R$/Operação)
atual;pncf;pncf_2026_03_gerado_em_20260410170006.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
atual;pnra;PNRA_2026_2026_04_15.xlsx;Orientações;1;Orientações gerais sobre a planilha de dados
atual;pnra;PNRA_2026_2026_04_15.xlsx;DADOS;10;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, numero_familias_pa_criado_diferenciado_pnra, numero_familias_pa_criado_tradicional_pnra, numero_familias_reconhecimento_pnra, numero_familias_regularizacao_pnra, total_numero_familias_pnra
atual;pnra;PNRA_2026_2026_04_15.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;pronaf;pronaf_gaia_historico_anual_2015.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2015.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2015.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2016.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2016.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2016.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2017.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2017.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2017.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2018.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2018.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2018.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2019.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2019.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2019.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2020.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2020.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2020.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;Orientações;1;Orientações
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;DADOS;7;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, familias_com_ater_iniciada_no_ano, familias_com_ater_recebida_no_ano
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;Orientações;1;Orientações
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;DADOS;7;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, familias_com_ater_iniciada_no_ano, familias_com_ater_recebida_no_ano
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
