dt_referencia;dt_geracao;cod_ibge;nome_municipio;uf;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2026_03;20260410;2702405;Delmiro Gouveia;AL;23;24;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2703304;Inhapi;AL;5;5;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2705804;Olho Dagua Do Casado;AL;58;58;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2707107;Piranhas;AL;57;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1300508;Barreirinha;AM;0;7;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1300680;Boa Vista Do Ramos;AM;0;32;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1302900;Maues;AM;0;40;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1303007;Nhamunda;AM;0;51;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600105;Amapa;AP;0;20;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600253;Itaubal;AP;1;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600279;Laranjal Do Jari;AP;1;144;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600303;Macapa;AP;0;14;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600402;Mazagão;AP;0;25;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600501;Oiapoque;AP;394;405;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600550;Pracuuba;AP;0;2;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1600808;Vitoria Do Jari;AP;0;103;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2901403;Angical;BA;0;5;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2902500;Baianopolis;BA;0;15;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2903201;Barreiras;BA;0;33;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2904753;Buritirama;BA;0;81;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2907400;Catolandia;BA;0;31;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2913606;Ilheus;BA;0;48;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2914901;Itacare;BA;0;48;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2921708;Morro Do Chapeu;BA;50;50;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2922755;Nova Ibia;BA;0;18;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2923506;Palmeiras;BA;1;46;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2926202;Riachão Das Neves;BA;0;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2928109;Santa Maria Da Vitoria;BA;0;17;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2928406;Santa Rita De Cassia;BA;0;19;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2928208;Santana;BA;0;6;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2930808;Souto Soares;BA;41;84;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2928901;São Desiderio;BA;0;12;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2929057;São Felix Do Coribe;BA;0;40;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2932804;Utinga;BA;49;57;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2300408;Aiuaba;CE;0;95;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2301505;Arneiroz;CE;0;49;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2303931;Choro;CE;0;28;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2305266;Ibaretama;CE;0;22;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2310506;Pedra Branca;CE;0;32;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2311306;Quixada;CE;0;75;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2311405;Quixeramobim;CE;1;84;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2312700;Senador Pompeu;CE;0;10;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2313302;Taua;CE;0;20;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5300108;Brasilia;DF;287;350;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3200805;Baixo Guandu;ES;23;23;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3200904;Barra De São Francisco;ES;0;29;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3201605;Conceição Da Barra;ES;59;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3202108;Ecoporanga;ES;0;74;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3203304;Mantenopolis;ES;1;33;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3203502;Montanha;ES;22;70;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3203908;Nova Venecia;ES;5;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3204708;São Gabriel Da Palha;ES;10;31;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5200902;Amorinopolis;GO;25;25;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5203104;Baliza;GO;35;35;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5204409;Caiaponia;GO;38;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5205497;Cidade Ocidental;GO;0;66;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5206206;Cristalina;GO;0;85;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5207253;Doverlandia;GO;62;62;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5207600;Fazenda Nova;GO;56;56;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5207907;Flores De Goias;GO;0;69;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5210208;Ipora;GO;31;31;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5212006;Jaupaci;GO;69;69;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5212204;Jussara;GO;6;6;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5212501;Luziania;GO;0;34;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5215231;Novo Gama;GO;0;13;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5215603;Padre Bernardo;GO;0;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2101103;Axixa;MA;24;24;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2101251;Bacabeira;MA;6;6;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2102325;Buriticupu;MA;0;13;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2102358;Buritirana;MA;1;22;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2102374;Cachoeira Grande;MA;33;33;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2103505;Colinas;MA;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2103752;Davinopolis;MA;2;51;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2103802;Dom Pedro;MA;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2104073;Feira Nova Do Maranhão;MA;0;4;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2104552;Governador Edison Lobão;MA;2;50;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2105104;Icatu;MA;25;25;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2105302;Imperatriz;MA;0;44;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2105500;João Lisboa;MA;7;81;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2107100;Morros;MA;95;95;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2108009;Pastos Bons;MA;1;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2109205;Presidente Juscelino;MA;26;26;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2109502;Riachão;MA;1;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2109601;Rosario;MA;45;45;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2111102;São João Dos Patos;MA;1;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2112308;Tuntum;MA;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3100906;Aguas Formosas;MG;38;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3101003;Aguas Vermelhas;MG;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3103405;Araçuai;MG;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3104502;Arinos;MG;4;154;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3106606;Bertopolis;MG;23;23;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3102704;Cachoeira De Pajeú;MG;0;5;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3111101;Campina Verde;MG;142;218;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3113008;Carai;MG;73;73;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3115458;Catuji;MG;27;27;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3122009;Divino;MG;0;168;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3132305;Itaipe;MG;132;132;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3133303;Itaobim;MG;0;23;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3134004;Itinga;MG;0;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3134400;Iturama;MG;23;74;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3136306;João Pinheiro;MG;59;139;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3141405;Medina;MG;0;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3145307;Novo Cruzeiro;MG;0;1;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3145877;Orizania;MG;0;13;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3148707;Pedra Azul;MG;0;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3157658;Santa Helena De Minas;MG;59;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3160306;Santo Antonio Do Jacinto;MG;0;2;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3167608;Simonesia;MG;0;169;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;3170479;Uruana De Minas;MG;0;54;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5003488;Dois Irmãos Do Buriti;MS;10;101;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5005806;Nioaque;MS;2;102;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5007901;Sidrolandia;MS;161;199;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5100102;Acorizal;MT;16;16;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5100508;Alto Paraguai;MT;75;75;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5103502;Diamantino;MT;24;24;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5104906;Jangada;MT;19;19;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5106000;Nortelandia;MT;38;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5106109;Nossa Senhora Do Livrame;MT;38;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5108857;Nova Marilandia;MT;50;50;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5106232;Nova Olimpia;MT;121;121;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5106505;Pocone;MT;34;34;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5106851;Porto Estrela;MT;42;42;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;5108402;Varzea Grande;MT;18;18;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1500602;Altamira;PA;11;97;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1500859;Anapu;PA;0;55;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1500909;Augusto Correa;PA;0;551;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1501303;Barcarena;PA;0;79;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1501402;Belem;PA;0;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1501451;Belterra;PA;2;836;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1502707;Conceição Do Araguaia;PA;0;99;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1502954;Eldorado Dos Carajas;PA;0;112;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1503606;Itaituba;PA;0;4;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1503705;Itupiranga;PA;2;40;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1503804;Jacunda;PA;2;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1504208;Maraba;PA;0;138;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1504976;Nova Ipixuna;PA;0;147;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1505486;Pacaja;PA;0;70;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1505502;Paragominas;PA;0;77;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1506138;Redenção;PA;0;57;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1506187;Rondon Do Para;PA;0;64;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1506195;Ruropolis;PA;21;89;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1506351;Santa Barbara Do Para;PA;0;40;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1506807;Santarem;PA;1;106;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1507904;Soure;PA;0;84;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1507706;São Sebastião Da Boa Vis;PA;0;658;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1508035;Tracuateua;PA;0;523;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1508084;Tucumã;PA;0;58;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;1508159;Uruara;PA;5;27;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2501609;Barra De Santa Rosa;PB;0;2;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2506509;Gurjão;PB;0;30;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2513851;Santo Andre;PB;0;59;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2516102;Soledade;PB;0;3;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2514008;São João Do Cariri;PB;0;49;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2602803;Buique;PE;0;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2604106;Caruaru;PE;0;80;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2604908;Cumaru;PE;0;45;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2605301;Exu;PE;0;27;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2609907;Ouricuri;PE;0;13;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2610806;Pedra;PE;0;31;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2611705;Riacho Das Almas;PE;0;36;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2201051;Assunção Do Piaui;PI;30;30;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2201507;Batalha;PI;0;38;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2201572;Belem Do Piaui;PI;0;3;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026_03;20260410;2202109;Campinas Do Piaui;PI;10;10;ater_ate_2026_03_gerado_em_20260410151127.xlsx
