dt_referencia;dt_geracao;uf;cod_ibge_uf;ANO;qtd_contratos_1_Feminino;qtd_contratos_1_Masculino;qtd_contratos_1_Sem_Identificacao;valor_total_contratos_1_Feminino;valor_total_contratos_1_Masculino;valor_total_contratos_1_Sem_Identificacao;qtd_operacoes_1_Feminino;qtd_operacoes_1_Masculino;qtd_operacoes_1_Sem_Identificacao;ticket_medio_1_Feminino;ticket_medio_1_Masculino;ticket_medio_1_Sem_Identificacao;ano;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2026_03;2026_04_14;AC;12;2026;443;662;3142;25923829.44;49336962.82;76901084.74;443;662;3142;58518.8023476298;74527.1341691843;24475.20201782304;2026;4247;152161877.0;4247;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;AL;27;2026;5135;5667;4049;63159166.86;85812158.61;78294227.62;5135;5667;4049;12299.74038169426;15142.43137638962;19336.68254383799;2026;14851;227265553.09;14851;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;AM;13;2026;308;463;2166;4576762.08;8619837.99;31816705.05;308;463;2166;14859.61714285714;18617.36066954644;14689.15283933518;2026;2937;45013305.120000005;2937;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;AP;16;2026;235;264;1737;5476933.96;5774499.39;24353460.22;235;264;1737;23306.10195744681;21873.10375;14020.41463442717;2026;2236;35604893.57;2236;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;BA;29;2026;27852;28931;27465;299122992.75;508419310.57;422111534.61;27852;28931;27465;10739.73117729427;17573.51320624935;15369.07098525396;2026;84248;1229653837.9299998;84248;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;CE;23;2026;15528;16695;9423;139653231.33;169400396.7;118431172.87;15528;16695;9423;8993.639318006184;10146.77428571429;12568.30869892815;2026;41646;427484800.9;41646;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;DF;53;2026;7;8;36;267925.0;248191.16;2011976.59;7;8;36;38275.0;31023.895;55888.2386111111;2026;51;2528092.75;51;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;ES;32;2026;1109;4677;2817;83905008.66;405486670.46;260012144.87;1109;4677;2817;75658.25848512173;86698.02661107549;92301.08089101882;2026;8603;749403823.99;8603;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;GO;52;2026;761;1270;2766;38409713.85;83266497.49;181855117.53;761;1270;2766;50472.68574244416;65564.1712519685;65746.60792841649;2026;4797;303531328.87;4797;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;MA;21;2026;11431;11350;11801;108397934.4;117416786.41;202807549.42;11431;11350;11801;9482.804164115127;10345.09131365639;17185.62405050419;2026;34582;428622270.23;34582;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;MG;31;2026;9424;18649;16775;174278525.96;762823915.08;667192341.53;9424;18649;16775;18493.05241511036;40904.27985843745;39773.01588852459;2026;44848;1604294782.5700002;44848;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;MS;50;2026;823;1081;1493;36553998.45;54469880.5;55232947.03;823;1081;1493;44415.55097205347;50388.41859389454;36994.60618218352;2026;3397;146256825.98000002;3397;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;MT;51;2026;484;1160;1848;38334864.94;115957033.28;165155909.24;484;1160;1848;79204.26640495867;99962.95972413794;89370.08075757576;2026;3492;319447807.46000004;3492;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;PA;15;2026;3175;4298;7297;114254462.62;241182380.8;303349437.07;3175;4298;7297;35985.65751811024;56115.0257794323;41571.80170892147;2026;14770;658786280.49;14770;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;PB;25;2026;7827;8137;9613;72489003.87;78737035.54;100867022.18;7827;8137;9613;9261.403330778077;9676.420737372497;10492.77251430355;2026;25577;252093061.59000003;25577;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;PE;26;2026;11291;10638;15446;107353605.28;132121525.15;203975597.12;11291;10638;15446;9507.891708440351;12419.7711176913;13205.72297811731;2026;37375;443450727.55;37375;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;PI;22;2026;12547;12751;13970;103338564.36;90528885.92;128192489.75;12547;12751;13970;8236.117347573125;7099.747935063917;9176.269846098783;2026;39268;322059940.03;39268;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;PR;41;2026;2863;10666;6126;253456956.1;839262618.24;592121679.4;2863;10666;6126;88528.45130981487;78685.78832177012;96657.14649036892;2026;19655;1684841253.7399998;19655;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;RJ;33;2026;82;514;375;6348766.85;34152474.96;24619720.73;82;514;375;77423.98597560976;66444.50381322957;65652.58861333334;2026;971;65120962.54000001;971;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;RN;24;2026;5870;6282;4242;53407004.02;57111609.33;44791103.96;5870;6282;4242;9098.297107325383;9091.309985673352;10558.95897218293;2026;16394;155309717.31;16394;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;RO;11;2026;653;2226;3295;62136030.66;228521910.68;227881239.6;653;2226;3295;95154.71770290965;102660.3372327044;69159.70852807284;2026;6174;518539180.94000006;6174;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;RR;14;2026;146;228;410;10309058.3;20228422.69;18526700.41;146;228;410;70609.9883561644;88721.15214912282;45187.07417073171;2026;784;49064181.400000006;784;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;RS;43;2026;3830;14172;13382;289621170.58;1052604262.6;969528644.7;3830;14172;13382;75619.10459007832;74273.5155659046;72450.20510387087;2026;31384;2311754077.88;31384;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;SC;42;2026;1537;6680;10655;157195947.67;618226327.8;930738629.3499999;1537;6680;10655;102274.5267859467;92548.85146706586;87352.28806663537;2026;18872;1706160904.8199997;18872;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;SE;28;2026;3991;5143;3854;75370489.87;182637939.79;99693066.6;3991;5143;3854;18885.11397394137;35511.94629399183;25867.42776336274;2026;12988;357701496.26;12988;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;SP;35;2026;722;1815;1540;40622987.13;157036624.52;110790598.2;722;1815;1540;56264.52511080333;86521.55620936639;71941.94688311688;2026;4077;308450209.85;4077;pronaf_gaia_20260414.xlsx
2026_03;2026_04_14;TO;17;2026;682;1131;1980;29163441.46;72578381.92;64738799.4;682;1131;1980;42761.64436950147;64171.86730327144;32696.36333333333;2026;3793;166480622.78;3793;pronaf_gaia_20260414.xlsx
